RAW_DATA|GIVEN_NAME|TOP_NICKNAME|ALL_NICKNAMES_ORDERED
bess,bessie|bess|bessie|bessie
beth,betsy,betty,elizabeth|beth|betsy|betsy,betty,elizabeth
bethena,beth,thaney|bethena|beth|beth,thaney
beverly,bev|beverly|bev|bev
bezaleel,zeely|bezaleel|zeely|zeely
biddie,biddy|biddie|biddy|biddy
bill,william,billy,robert,willie,fred|bill|fred|billy,fred,robert,william,willie
billy,william,robert,fred|billy|fred|fred,robert,william
blanche,bea|blanche|bea|bea
bob,rob,robert|bob|rob|rob,robert
bobby,rob,bob|bobby|bob|bob,rob
boetius,bo|boetius|bo|bo
bradford,ford,brad|bradford|brad|brad,ford
brady,brody|brady|brody|brody
brenda,brandy|brenda|brandy|brandy
brian,bryan,bryant|brian|bryan|bryan,bryant
bridget,bridie,biddy,bridgie,biddie|bridget|biddy|biddie,biddy,bridgie,bridie
brittany,britt|brittany|britt|britt
broderick,ricky,brody,brady,rick|broderick|rick|brady,brody,rick,ricky
cal,calvin|cal|calvin|calvin
caldonia,calliedona|caldonia|calliedona|calliedona
caleb,cal|caleb|cal|cal
california,callie|california|callie|callie
calista,kissy|calista|kissy|kissy
calpurnia,cally|calpurnia|cally|cally
calvin,vin,vinny,cal|calvin|cal|cal,vin,vinny
cameron,ron,cam,ronny|cameron|cam|cam,ron,ronny
camille,millie,cammie|camille|millie|cammie,millie
campbell,cam|campbell|cam|cam
candace,candy,dacey|candace|dacey|candy,dacey
carlotta,lottie|carlotta|lottie|lottie
carlton,carl|carlton|carl|carl
carmellia,mellia|carmellia|mellia|mellia
carmon,charm,cammie,carm|carmon|charm|cammie,carm,charm
carol,lynn,carrie,carolann,cassie,caroline,carole|carol|carrie|carolann,carole,caroline,carrie,cassie,lynn
carolann,carol,carole|carolann|carol|carol,carole
caroline,lynn,carol,carrie,cassie,carole|caroline|carol|carol,carole,carrie,cassie,lynn
carolyn,lynn,carrie,cassie|carolyn|carrie|carrie,cassie,lynn
carrie,cassie|carrie|cassie|cassie
carthaette,etta,etty|carthaette|etty|etta,etty
casey,k.c.|casey|k.c.|k.c.
casper,jasper|casper|jasper|jasper
cassandra,sandy,cassie,sandra|cassandra|sandy|cassie,sandra,sandy
cassie,cassandra|cassie|cassandra|cassandra
caswell,cass|caswell|cass|cass
catherine,kathy,katy,lena,kittie,kit,trina,cathy,kay,cassie|catherine|cathy|cassie,cathy,kathy,katy,kay,kit,kittie,lena,trina
cathleen,kathy,katy,lena,kittie,kit,trina,cathy,kay,cassie|cathleen|cathy|cassie,cathy,kathy,katy,kay,kit,kittie,lena,trina
cecilia,cissy,celia|cecilia|cissy|celia,cissy
cedric,ced,rick,ricky|cedric|ced|ced,rick,ricky
celeste,lessie,celia|celeste|lessie|celia,lessie
celinda,linda,lynn,lindy|celinda|linda|linda,lindy,lynn
charity,chat|charity|chat|chat
charles,charlie,chuck,carl,chick|charles|chuck|carl,charlie,chick,chuck
charlie,charles,chuck|charlie|chuck|charles,chuck
charlotte,char,sherry,lottie,lotta|charlotte|sherry|char,lotta,lottie,sherry
